股票代码,股票简称,上市交易所,上市日期,上市板块,上市企业全称,对应大陆企业全称
00700,腾讯控股,HKEX,2004-06-16,主板,Tencent Holdings Limited,腾讯控股有限公司
09988,阿里巴巴-SW,HKEX,2019-11-26,主板,Alibaba Group Holding Limited,阿里巴巴集团控股有限公司
09618,京东集团-SW,HKEX,2020-06-18,主板,JD.com Inc.,京东集团股份有限公司
01024,快手-W,HKEX,2021-02-05,主板,Kuaishou Technology,快手科技
03690,美团-W,HKEX,2018-09-20,主板,Meituan,美团
01810,小米集团-W,HKEX,2018-07-09,主板,Xiaomi Corporation,小米集团
02015,理想汽车-W,HKEX,2021-08-12,主板,Li Auto Inc.,理想汽车
09868,小鹏汽车-W,HKEX,2020-08-27,主板,XPeng Inc.,小鹏汽车
09866,蔚来-SW,HKEX,2022-03-10,主板,NIO Inc.,蔚来汽车
09999,网易-S,HKEX,2020-06-11,主板,NetEase Inc.,网易公司

