股票代码,股票简称,币种,报告期间,数据类型,总资产,总负债,净利润,营业总收入,营业总成本,研发费用,利润总额,所得税,研发投入占比,毛利率,总资产周转率
LHSW,索威尔,USD,2025-03-31,A,30729130,19075769,3124662,36539846,26964611,3462715,3157960,-24605,9.476545139243335,26.20491339782877,1.189094712411318
LHSW,索威尔,USD,2024-03-31,A,19129887,11280967,2817914,36598667,28636850,2286141,2927447,109622,6.246514388078669,21.75439067220672,1.913166920431888
LHSW,索威尔,USD,2023-03-31,A,9239193,5991081,1610110,13070586,9715604,449828,1840352,230297,3.441528941395589,25.66818350761014,1.414689140058011
LHSW,索威尔,USD,2022-03-31,A,2657008,1335855,-391081,949341,473882,473893,-523375,-132288,49.91810108275109,50.08305761575661,0.3572970047512089
RGC,脑再生科技,USD,2024-06-30,A,8438211,219512,-4301837,0,,1066233,-4363221,0,,,
RGC,脑再生科技,USD,2023-06-30,A,12621755,632320,-5871130,0,,1581628,-6062329,0,,,
RGC,脑再生科技,USD,2022-06-30,A,18018918,938032,-7445943,0,,2512154,-7594555,0,,,
RGC,脑再生科技,USD,2021-06-30,A,340134,4337771,-1346745,0,,438323,-1346745,0,,,
SLAI,SOLAI Ltd ADR,USD,2025-09-30,Q,76573000,14825000,-2482000,4403000,6923000,,-2748000,0,,-57.23370429252782,0.05750068562025779
SLAI,SOLAI Ltd ADR,USD,2024-12-31,Q,86335000,19555000,-2125000,8793000,8505000,,-2279000,0,,3.275332650972365,0.101847454682342
SLAI,SOLAI Ltd ADR,USD,2024-09-30,Q,,,-4750000,4770000,6448000,,-4750000,0,,-35.17819706498952,
CD,Chaince Digital Holdings Inc,USD,2024-12-31,A,35691313,11602495,-4534397,1007430,1382939,,-4197412,336985,,-37.27395451793177,0.0282261961054781
CD,Chaince Digital Holdings Inc,USD,2023-12-31,A,30395136,12562369,-9357196,445928,1424312,,-9447972,-90776,,-219.4040293500296,0.01467103157557841
CD,Chaince Digital Holdings Inc,USD,2022-12-31,A,18893082,2064218,-5634971,863438,1380600,,-5883682,-248711,,-59.89567287981302,0.04570127838327278
CD,Chaince Digital Holdings Inc,USD,2021-12-31,A,9019621,1371982,-21665704,670171,702679,,-13305382,0,,-4.850702283447061,0.07430145900808914
SMXT,SolarMax Technology Inc,USD,2025-09-30,Q,58663000,70442570,-2258104,30602588,29646380,,-2773615,-515511,,3.124598481670897,0.5216676269539573
SMXT,SolarMax Technology Inc,USD,2025-06-30,Q,38243989,53350589,-1898777,6883004,6278443,,-2004994,-106217,,8.783388764556872,0.1799761002964413
SMXT,SolarMax Technology Inc,USD,2025-03-31,Q,38591425,54465830,-1296242,6927469,5508398,,-1359876,-63634,,20.48469650315288,0.1795079865540078
SMXT,SolarMax Technology Inc,USD,2024-12-31,Q,38629891,53708833,-3903595,6436900,5503340,,-2186493,1717102,,14.50325467228014,0.1666300326863464
SMXT,SolarMax Technology Inc,USD,2024-09-30,Q,43045571,53983195,-9622730,6331606,5074267,,-9565919,56811,,19.85813709823384,0.1470907657375482
SMXT,SolarMax Technology Inc,USD,2024-06-30,Q,,,,,,,,,,,
MASK,三易科技,USD,2025-06-30,A,9355281,4001536,764919,4835167,2426213,,1908945,431139,,49.82152632990753,0.5168382435546297
