股票代码,股票简称,企业全称,上市交易所,获取时间,市值,市盈率
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,2026-01-26,286712992,
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares","ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,2026-01-26,35267432,-1.1212121
AAL,"American Airlines Group, Inc. - Common Stock","American Airlines Group, Inc. - Common Stock",NASDAQ,2026-01-26,9683468288,16.862068
AAME,Atlantic American Corporation - Common Stock,Atlantic American Corporation - Common Stock,NASDAQ,2026-01-26,55276488,11.782609
AAOI,"Applied Optoelectronics, Inc. - Common Stock","Applied Optoelectronics, Inc. - Common Stock",NASDAQ,2026-01-26,2438957568,42.22222
AAON,"AAON, Inc. - Common Stock","AAON, Inc. - Common Stock",NASDAQ,2026-01-26,7711152640,78.06611
AAPG,Ascentage Pharma Group International - American Depository Shares,Ascentage Pharma Group International - American Depository Shares,NASDAQ,2026-01-26,2477211904,-55.081745
AAPL,Apple Inc. - Common Stock,Apple Inc. - Common Stock,NASDAQ,2026-01-26,3665126490112,33.20482
AARD,"Aardvark Therapeutics, Inc. - Common Stock","Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,2026-01-26,326816832,-4.1364107
ABAT,American Battery Technology Company - Common Stock,American Battery Technology Company - Common Stock,NASDAQ,2026-01-26,610858816,-33.571426
ABCL,AbCellera Biologics Inc. - Common Shares,AbCellera Biologics Inc. - Common Shares,NASDAQ,2026-01-26,1269180544,-6.144927
ABEO,Abeona Therapeutics Inc. - Common Stock,Abeona Therapeutics Inc. - Common Stock,NASDAQ,2026-01-26,279627424,4.2644625
ABLV,Able View Global Inc. - Class B Ordinary Shares,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,2026-01-26,35852144,
ABNB,"Airbnb, Inc. - Class A Common Stock","Airbnb, Inc. - Class A Common Stock",NASDAQ,2026-01-26,80906936320,31.464285
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock","Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,2026-01-26,119935384,-1.1409605
ABP,"Abpro Holdings, Inc - Common Stock","Abpro Holdings, Inc - Common Stock",NASDAQ,2026-01-26,7078620,
ABSI,Absci Corporation - Common Stock,Absci Corporation - Common Stock,NASDAQ,2026-01-26,437581184,-4.1280107
ABTC,American Bitcoin Corp. - Class A Common Stock,American Bitcoin Corp. - Class A Common Stock,NASDAQ,2026-01-26,1419235584,8.499999
ABTS,Abits Group Inc - Ordinary Shares,Abits Group Inc - Ordinary Shares,NASDAQ,2026-01-26,12560979,
ABUS,Arbutus Biopharma Corporation - Common Stock,Arbutus Biopharma Corporation - Common Stock,NASDAQ,2026-01-26,780835520,-24.285707
ABVC,"ABVC BioPharma, Inc. - Common Stock","ABVC BioPharma, Inc. - Common Stock",NASDAQ,2026-01-26,50060240,-4.681818
ABVE,Above Food Ingredients Inc. - Common Stock,Above Food Ingredients Inc. - Common Stock,NASDAQ,2026-01-26,119788920,
ABVX,Abivax SA - American Depositary Shares,Abivax SA - American Depositary Shares,NASDAQ,2026-01-26,9579598848,-37.27489
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,2026-01-26,4540839936,17.31613
ACB,Aurora Cannabis Inc. - Common Shares,Aurora Cannabis Inc. - Common Shares,NASDAQ,2026-01-26,250628544,-40.272724
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,2026-01-26,20087856,20.57143
ACDC,ProFrac Holding Corp. - Class A Common Stock,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,2026-01-26,913399488,-3.8846157
ACET,"Adicet Bio, Inc. - Common Stock","Adicet Bio, Inc. - Common Stock",NASDAQ,2026-01-26,81023992,-0.76087445
ACFN,"Acorn Energy, Inc. - Common Stock","Acorn Energy, Inc. - Common Stock",NASDAQ,2026-01-26,46761368,7.018797
ACGL,Arch Capital Group Ltd. - Common Stock,Arch Capital Group Ltd. - Common Stock,NASDAQ,2026-01-26,34694557696,8.712277
