证券简称,股票代码,企业全称,交易所,币种,单位,报告期间,数据类型,资产负债表.货币资金,资产负债表.流动资产,资产负债表.非流动资产,资产负债表.总资产,资产负债表.实收资本,资产负债表.资本公积,资产负债表.股东权益合计,资产负债表.流动负债,资产负债表.非流动负债,资产负债表.总负债,现金流量表.经营性现金流入,现金流量表.经营性现金流出,现金流量表.经营活动产生的现金流量净额,现金流量表.投资活动现金流入,现金流量表.投资活动现金流出,现金流量表.投资活动产生的现金流量净额,现金流量表.筹资活动现金流入,现金流量表.筹资活动现金流出,现金流量表.筹资活动产生的现金流量净额,利润表.净利润,利润表.营业总收入,利润表.营业收入,利润表.营业总成本,利润表.营业成本,利润表.研发费用,利润表.营业税金及附加,利润表.营业利润,利润表.营业外收入,利润表.营业外支出,利润表.利润总额,利润表.所得税,研发投入占比,毛利率,总资产周转率
Artius II Acquisition Inc.,AACB,Artius II Acquisition Inc.,NASDAQ,USD,美元,2025-09-30,Q,141921.0,329323.0,225903178.0,226232501.0,225851999.0,225851999.0,213401985.0,230516.0,12600000.0,12830516.0,0.0,98470.0,-98470.0,,,0.0,,,0.0,2210556.0,0.0,0.0,240840.0,,,0.0,-240840.0,,,2210556.0,,,,
Artius II Acquisition Inc.,AACB,Artius II Acquisition Inc.,NASDAQ,USD,美元,2025-06-30,Q,240391.0,459793.0,223488969.0,223948762.0,568.0,568.0,-12208606.0,157333.0,236000035.0,236157368.0,0.0,115735.0,-115735.0,,,0.0,,,0.0,2107012.0,0.0,0.0,219584.0,,,0.0,-219584.0,,,2107012.0,,,,
Artius II Acquisition Inc.,AACB,Artius II Acquisition Inc.,NASDAQ,USD,美元,2025-03-31,Q,356126.0,594440.0,221199561.0,221794001.0,221074007.0,221074007.0,209084417.0,109584.0,12600000.0,12709584.0,0.0,518215.0,-518215.0,0.0,220000000.0,-220000000.0,220874341.0,0.0,220874341.0,-5068049.0,0.0,0.0,6141488.0,,,0.0,-6141488.0,,,-5068049.0,,,,
ATA Creativity Global,AACG,ATA Creativity Global,NASDAQ,USD,美元,2025-09-30,Q,96807261.0,126538828.0,335993383.0,462532211.0,4764603.0,4764603.0,58885029.0,386132449.0,17579017.0,403711466.0,,,,,,,,,,2369436.0,67304440.0,67304440.0,77862040.0,40930214.0,760913.0,2981349.5,-10557600.0,,,1461761.0,-907675.0,1.1305539426522233,39.18645783249961,0.14551297920308517
ATA Creativity Global,AACG,ATA Creativity Global,NASDAQ,USD,美元,2025-06-30,Q,34673597.0,70183150.0,374058085.0,444241235.0,4764603.0,4764603.0,55878990.0,374192788.0,14233741.0,388426529.0,,,,,,,,,,-10768435.0,55890383.0,55890383.0,69638090.0,27583669.0,850299.0,-1659.713947,-13747707.0,,,-13721455.0,-2953020.0,1.521369069880949,50.64684205152075,0.12581088516017655
ATA Creativity Global,AACG,ATA Creativity Global,NASDAQ,USD,美元,2025-03-31,Q,39410928.0,73240281.0,384103179.0,457343460.0,4758893.0,4758893.0,66458797.0,371709247.0,19239700.0,390948947.0,,,,,,,,,,-13344642.0,55790906.0,55790906.0,72580504.0,30402595.0,748002.0,-551.709574,-16789598.0,,,-16730778.0,-3386108.0,1.3407238806984063,45.50618159884336,0.12198907578125201
ATA Creativity Global,AACG,ATA Creativity Global,NASDAQ,USD,美元,2024-12-31,Q,36523995.0,66639674.0,390287591.0,456927265.0,4755623.0,4755623.0,79710448.0,354495409.0,22785664.0,377281073.0,422090.0,0.0,422090.0,0.0,1432769.0,-1432769.0,0.0,1970784.0,-1970784.0,13256733.0,100915609.0,100915609.0,83921349.0,37251567.0,779087.0,-92218.207295,16994260.0,,,16678656.0,3421946.0,0.7720183306826202,63.08641708737049,0.2208570525989514
ATA Creativity Global,AACG,ATA Creativity Global,NASDAQ,USD,美元,2024-09-30,Q,39391127.0,60273299.0,399175863.0,459449162.0,4733961.0,4733961.0,66285930.0,370991600.0,22235866.0,393227466.0,,,,,,,,,,-14652246.0,67254807.0,67254807.0,84869407.0,37256461.0,740049.0,-283.52947,-17614600.0,,,-17391754.0,-2739486.0,1.1003659559977623,44.60401767266985,0.14638139006987677
"American Airlines Group, Inc.",AAL,"American Airlines Group, Inc.",NASDAQ,USD,美元,2025-09-30,Q,835000000.0,13250000000.0,48891000000.0,62141000000.0,7000000.0,7000000.0,-3962000000.0,24638000000.0,41465000000.0,66103000000.0,0.0,46000000.0,-46000000.0,974000000.0,0.0,974000000.0,0.0,921000000.0,-921000000.0,-114000000.0,13691000000.0,12683000000.0,13533000000.0,11316000000.0,,-1380281.690141,158000000.0,49000000.0,4000000.0,-142000000.0,-28000000.0,,17.34716236943978,0.2203215268502277
"American Airlines Group, Inc.",AAL,"American Airlines Group, Inc.",NASDAQ,USD,美元,2025-06-30,Q,833000000.0,15068000000.0,48599000000.0,63667000000.0,7000000.0,7000000.0,-3870000000.0,25771000000.0,41766000000.0,67537000000.0,963000000.0,0.0,963000000.0,0.0,1274000000.0,-1274000000.0,311000000.0,0.0,311000000.0,599000000.0,14392000000.0,13334000000.0,13210000000.0,10976000000.0,,-13404534.606205,1182000000.0,36000000.0,47000000.0,838000000.0,239000000.0,,23.73540856031128,0.22605117250695023
"American Airlines Group, Inc.",AAL,"American Airlines Group, Inc.",NASDAQ,USD,美元,2025-03-31,Q,835000000.0,13603000000.0,49006000000.0,62609000000.0,7000000.0,7000000.0,-4508000000.0,26112000000.0,41005000000.0,67117000000.0,2456000000.0,0.0,2456000000.0,0.0,1204000000.0,-1204000000.0,0.0,1223000000.0,-1223000000.0,-473000000.0,12551000000.0,11580000000.0,12751000000.0,10673000000.0,,-18904320.987654,-200000000.0,-44000000.0,66000000.0,-648000000.0,-175000000.0,,14.962951159270176,0.2004663866217317
"American Airlines Group, Inc.",AAL,"American Airlines Group, Inc.",NASDAQ,USD,美元,2024-12-31,Q,804000000.0,13154000000.0,48629000000.0,61783000000.0,7000000.0,7000000.0,-3977000000.0,24295000000.0,41465000000.0,65760000000.0,398000000.0,0.0,398000000.0,866000000.0,0.0,866000000.0,0.0,1295000000.0,-1295000000.0,590000000.0,13660000000.0,12622000000.0,12541000000.0,10474000000.0,,3867924.528302,1119000000.0,26000000.0,27000000.0,795000000.0,205000000.0,,23.323572474377745,0.2210964181085412
"American Airlines Group, Inc.",AAL,"American Airlines Group, Inc.",NASDAQ,USD,美元,2024-09-30,Q,834000000.0,14456000000.0,49072000000.0,63528000000.0,7000000.0,7000000.0,-4854000000.0,25532000000.0,42850000000.0,68382000000.0,277000000.0,0.0,277000000.0,58000000.0,0.0,58000000.0,0.0,142000000.0,-142000000.0,-149000000.0,13647000000.0,12725000000.0,13004000000.0,10868000000.0,,-116340000.0,643000000.0,18000000.0,554000000.0,-256000000.0,-107000000.0,,20.36344984245622,0.2148186626369475
Atlantic American Corporation,AAME,Atlantic American Corporation,NASDAQ,USD,美元,2025-09-30,Q,34444000.0,,,430855000.0,22401000.0,22456000.0,109488000.0,,,321367000.0,6642000.0,0.0,6642000.0,0.0,18621000.0,-18621000.0,,,0.0,577000.0,53760000.0,53760000.0,52991000.0,,,0.0,,,,769000.0,192000.0,,,0.1247751563751146
Atlantic American Corporation,AAME,Atlantic American Corporation,NASDAQ,USD,美元,2025-06-30,Q,46423000.0,,,429339000.0,22401000.0,22456000.0,106168000.0,,,323171000.0,9278000.0,0.0,9278000.0,1649000.0,0.0,1649000.0,0.0,407000.0,-407000.0,3316000.0,55290000.0,55290000.0,51074000.0,,,0.0,,,,4216000.0,900000.0,,,0.128779356173094
Atlantic American Corporation,AAME,Atlantic American Corporation,NASDAQ,USD,美元,2025-03-31,Q,35903000.0,,,388436000.0,22401000.0,22456000.0,102385000.0,,,286051000.0,0.0,722000.0,-722000.0,1059000.0,0.0,1059000.0,0.0,4000.0,-4000.0,802000.0,50125000.0,50125000.0,49090000.0,,,0.0,,,,1035000.0,233000.0,,,0.12904313709336931
Atlantic American Corporation,AAME,Atlantic American Corporation,NASDAQ,USD,美元,2024-12-31,Q,35570000.0,,,393428000.0,22401000.0,22456000.0,99613000.0,,,293815000.0,9613000.0,0.0,9613000.0,3322000.0,0.0,3322000.0,0.0,400000.0,-400000.0,412000.0,49043000.0,49043000.0,48498000.0,,,0.0,,,,545000.0,133000.0,,,0.12465559136614578
Atlantic American Corporation,AAME,Atlantic American Corporation,NASDAQ,USD,美元,2024-09-30,Q,23035000.0,,,386989000.0,22401000.0,22456000.0,105759000.0,,,281230000.0,90000.0,0.0,90000.0,1732000.0,0.0,1732000.0,,,0.0,-1998000.0,44519000.0,44519000.0,46973000.0,,,0.0,,,,-2454000.0,-456000.0,,,0.11503944556563624
"Applied Optoelectronics, Inc.",AAOI,"Applied Optoelectronics, Inc.",NASDAQ,USD,美元,2025-09-30,Q,136961000.0,575312000.0,403216000.0,978528000.0,68000.0,68000.0,559085000.0,249142000.0,170301000.0,419443000.0,0.0,28462000.0,-28462000.0,0.0,50478000.0,-50478000.0,152255000.0,0.0,152255000.0,-17936000.0,118630000.0,118279000.0,133598000.0,85367000.0,21265000.0,0.0,-14968000.0,-79000.0,,-17936000.0,0.0,17.92548259293602,28.039281800556353,0.12123311749893718
"Applied Optoelectronics, Inc.",AAOI,"Applied Optoelectronics, Inc.",NASDAQ,USD,美元,2025-06-30,Q,64699000.0,458338000.0,338512000.0,796850000.0,62000.0,62000.0,424981000.0,216843000.0,155026000.0,371869000.0,0.0,65474000.0,-65474000.0,0.0,38893000.0,-38893000.0,125979000.0,0.0,125979000.0,-9098000.0,102952000.0,102750000.0,117613000.0,71790000.0,20612000.0,0.0,-14661000.0,14000.0,,-9098000.0,0.0,20.020980651177247,30.2684746289533,0.1291987199598419
