股票代码,股票简称,企业全称,上市交易所,币种
CHA,霸王茶姬,四川茶姬企业管理有限公司,纳斯达克证券交易所,USD
9606.HK‌,映恩生物-B,映恩生物制药（苏州）有限公司,香港交易所,HKD
HXHX,昊鑫控股,宁波昊鑫国际物流有限公司,纳斯达克证券交易所,USD
RYET,软云科技,江西软云科技股份有限公司,纳斯达克证券交易所,USD
WXM,山友暖通,成都山友暖通工程有限公司,纳斯达克证券交易所,USD
2625.HK,江苏宏信,江苏宏信超市连锁股份有限公司,香港交易所,HKD
2610.HK,南山铝业国际,山东南山铝业股份有限公司,香港交易所,HKD
2561.HK,维昇药业-B,维昇药业（上海）有限公司,香港交易所,HKD
BIYA,工务园,深圳市工务园网络科技有限公司,纳斯达克证券交易所,USD
6676.HK,找钢集团-W,上海找钢网信息科技股份有限公司,香港交易所,HKD
6693.HK,赤峰黄金,赤峰吉隆黄金矿业股份有限公司,香港交易所,HKD
PN,斯凯蒙,宁波斯凯蒙太阳能有限公司,纳斯达克证券交易所,USD
2097.HK,蜜雪集团,蜜雪冰城股份有限公司,香港交易所,HKD
LUD.A,禄达集团,泰安隆泰金属制品有限公司,美国证券交易所,USD
WETO.O,微巴士,浙江优巴科技有限公司,纳斯达克证券交易所,USD
LZMH.O,联掌门户,联掌门户网络科技有限公司,纳斯达克证券交易所,USD
STAK,‌斯塔克工业,史塔克工业（深圳）有限公司,纳斯达克证券交易所,USD
1364.HK,古茗,古茗科技集团有限公司,香港交易所,HKD
EPWK.O,一品威客,厦门一品威客网络科技股份有限公司,纳斯达克证券交易所,USD
HCAI.O,华谌科技,浙江华谌科技有限公司,纳斯达克证券交易所,USD
AAPG.O,亚盛医药,苏州亚盛药业有限公司,纳斯达克证券交易所,USD
DXST.O,鼎信,青岛鼎信通讯股份有限公司,纳斯达克证券交易所,USD
2571.HK,赛目科技,北京赛目科技股份有限公司,香港交易所,HKD
0805.HK,新吉奥房车,兴隆翠汽车科技（浙江）有限公司,香港交易所,HKD
2596.HK,宜宾银行,宜宾市商业银行股份有限公司,香港交易所,HKD
0325.HK,布鲁可,上海布鲁可科技集团有限公司,香港交易所,HKD
2530.HK,纽曼思,金纽曼思（上海）食品有限公司,香港交易所,HKD
2560.HK,海螺材料科技,安徽海螺材料科技股份有限公司,香港交易所,HKD
2613.HK,汇舸环保,上海汇舸环保科技集团股份有限公司,香港交易所,HKD
MASK.O,三易科技,广州三易互联网科技有限公司,纳斯达克证券交易所,USD
